RUT_CLIENTE;RAZON_SOCIAL;TELEFONO;DIRECCION;COMUNA;CIUDAD;EMAIL;INFO;MONTO_CREDITO;CLASIFICACION;ZONA;ID_TIPO_CLIENTE;CONDICION_DE_VENTA;GIRO;ID_ACTIVIDAD_COMERCIAL;RUT_CLIENTE_PADRE
96838560-7;COMERCIAL SAN CRISTOBAL S.A.;672217160;FRANCISCO BILBAO 2305;COYHAIQUE;COYHAIQUE;CONTACTO@COMERCIALSANCRISTOBAL.CL;FERRETERIA, DISTRIBUCION DE MATERIALES DE CONSTRUCCION;1;FERRETERIA, DISTRIBUCION DE MATERIALES DE CONSTRUCCION;AYSEN;2;1;FERRETERIA, DISTRIBUCION DE MATERIALES DE CONSTRUCCION;1;
95050000-K;COMERCIAL E INDUSTRIAL ISESA S.A.;2223627000;AV. PEDRO AGUIRRE CERDA 4693;CERRILLOS;SANTIAGO;ISESA@ISESA.CL;PRODUCTORA, COMERCIALIZADORA EXPORTADORA DE ARTICULOS FERRETEROS;1;PRODUCTORA, COMERCIALIZADORA EXPORTADORA DE ARTICULOS FERRETEROS;METROPOLITANA;2;1;PRODUCTORA, COMERCIALIZADORA EXPORTADORA DE ARTICULOS FERRETEROS;1;
81533000-5;DANILO JORDAN S.A;612202730;LIBERTADOR BERNARDO O'HIGGINS 1120;PUNTA ARENAS;PUNTA ARENAS;JDJORDAN@DANILOJORDAN.CL;FERRETERIA, EXPORTACIONES E IMPORTACIONES;1;FERRETERIA, EXPORTACIONES E IMPORTACIONES;MAGALLANES Y ANTARTICA CHILENA;2;1;FERRETERIA, EXPORTACIONES E IMPORTACIONES;1;
96576200-0;DANUS CONEXIONES LTDA.;2226765200;ZENTENO 1165;SANTIAGO;SANTIAGO;VENTAS@DANUS.CL;FABRICACION Y COMERCIALIZACION DE FITTINGS, CONEXIONES Y ACOPLES DE BRONCE ;1;FABRICACION Y COMERCIALIZACION DE FITTINGS, CONEXIONES Y ACOPLES DE BRONCE ;METROPOLITANA;2;1;FABRICACION Y COMERCIALIZACION DE FITTINGS, CONEXIONES Y ACOPLES DE BRONCE ;1;
83279200-4;DUCASSE INDUSTRIAL S.A;2224773200;CALLE NUEVA INDUSTRIA 201;QUILICURA;SANTIAGO;VENTAS@DUCASSEIND.CL;METALMECANICA;1;METALMECANICA;METROPOLITANA;2;1;METALMECANICA;1;
79658640-0;ELEC - CHILE LTDA.;2227567400;PILOTO LAZO 235;CERRILLOS;SANTIAGO;VENTAS@ELEC.CL;LUMINARIAS Y EQUIPOS ELECTRICOS - FABRICACION Y COMERCIALIZACION DE LAMPARAS Y EQUIPOS DE ILUMINACION;1;LUMINARIAS Y EQUIPOS ELECTRICOS - FABRICACION Y COMERCIALIZACION DE LAMPARAS Y EQUIPOS DE ILUMINACION;METROPOLITANA;2;1;LUMINARIAS Y EQUIPOS ELECTRICOS - FABRICACION Y COMERCIALIZACION DE LAMPARAS Y EQUIPOS DE ILUMINACION;1;
84710400-7;ESTABLECIMIENTOS CALESAN S.A.C.I.;2227734543;LOS SAUCES 5081;QUINTA NORMAL;SANTIAGO;CCALERA@CALESAN.CL;IMPORTADORES DE ARTICULOS DE FERRETERIA;1;IMPORTADORES DE ARTICULOS DE FERRETERIA;METROPOLITANA;2;1;IMPORTADORES DE ARTICULOS DE FERRETERIA;1;
76762370-4;FENASA S.A;322182180;CERRO EL ALTAR 3631, PARQUEI NDUSTRIAL DE CURAUMA;VALPARAISO;VALPARAISO;INFO@FENASA.CL;VENTAS AL POR MAYOR Y MENOR DE ARTICULOS DE FERRETERIA;1;VENTAS AL POR MAYOR Y MENOR DE ARTICULOS DE FERRETERIA;VALPARAISO;2;1;VENTAS AL POR MAYOR Y MENOR DE ARTICULOS DE FERRETERIA;1;
95229000-2;FERRETERIA AMUNATEGUI S.A.;2225922000;AV. PRESIDENTE EDUARDO FREI MONTALVA 6008;QUILICURA;SANTIAGO;FERAM@FERAM.CL;FERRETERIA TECNICA INDUSTRIAL;1;FERRETERIA TECNICA INDUSTRIAL;METROPOLITANA;2;1;FERRETERIA TECNICA INDUSTRIAL;1;
94707000-2;FERRETERIA COVADONGA LTDA.;2227260700;AV. MANUEL ANTONIO MATTA 067;¥U¥OA;SANTIAGO;FERRETERIA@PUNTOMAESTRO.CL;FERRETERIA INDUSTRIAL;1;FERRETERIA INDUSTRIAL;METROPOLITANA;2;1;FERRETERIA INDUSTRIAL;1;
83957900-4;FERRETERIA EL AGUILA LTDA.;612206500;ERRAZURIZ 845;PUNTA ARENAS;PUNTA ARENAS;SECRETARIA@AGUILA.CL;FERRETERIA, VENTA DE MASCOTAS Y ACCESORIOS, EXPORTACIONES E IMPORTACIONES, USUARIO ZONA FRANCA;1;FERRETERIA, VENTA DE MASCOTAS Y ACCESORIOS, EXPORTACIONES E IMPORTACIONES, USUARIO ZONA FRANCA;MAGALLANES Y ANTARTICA CHILENA;2;1;FERRETERIA, VENTA DE MASCOTAS Y ACCESORIOS, EXPORTACIONES E IMPORTACIONES, USUARIO ZONA FRANCA;1;
93631000-1;FERRETERIA LAS DOS ESTRELLAS S.A.;2227700900;AV. SANTA ROSA 2001;SANTIAGO;SANTIAGO;FERRETERIA@DOSESTRELLAS.CL;FERRETERIA;1;FERRETERIA;METROPOLITANA;2;1;FERRETERIA;1;
81756300-7;FERRETERIA O'HIGGINS S.A. VILLAR HNOS. S.A.;2223831000;AV. LIB. BERNARDO O'HIGGINS 2259;SANTIAGO;SANTIAGO;CONTACTO@VILLAR.CL;FERRETERIA INDUSTRIAL;1;FERRETERIA INDUSTRIAL;METROPOLITANA;2;1;FERRETERIA INDUSTRIAL;1;
91361000-8;FERRETERIA SANTIAGO S.A;2227313826;LIRA 919;SANTIAGO;SANTIAGO;VMEZA@FERRETERIASANTIAGO.CL;FERRETERIA INDUSTRIAL;1;FERRETERIA INDUSTRIAL;METROPOLITANA;2;1;FERRETERIA INDUSTRIAL;1;
80403100-6;FERRETERIA Y MAQUINARIA GEYGER SOCIEDAD LTDA.;2224908800;AV. PRESIDENTE EDUARDO FREI MONTALVA 1352;RENCA;SANTIAGO;CENTRAL@GEYGER.CL;FERRETERIA INDUSTRIAL, SUMINISTROS, CONVENIOS Y LICITACIONES;1;FERRETERIA INDUSTRIAL, SUMINISTROS, CONVENIOS Y LICITACIONES;METROPOLITANA;2;1;FERRETERIA INDUSTRIAL, SUMINISTROS, CONVENIOS Y LICITACIONES;1;
81151900-6;FRINDT S.A.;452409000;MANUEL RODRIGUEZ 1015;TEMUCO;TEMUCO;RECEPCION@FRINDTSA.CL;FERRETERIA;1;FERRETERIA;ARAUCANIA;2;1;FERRETERIA;1;
84915900-3;GILI S.A.;2228226000;AV. FERMIN VIVACETA3598;CONCHALI;SANTIAGO;PRODRIGUEZ@FEDERICOGILI.CL;IMPORTADORA Y EXPORTADORA;1;IMPORTADORA Y EXPORTADORA;METROPOLITANA;2;1;IMPORTADORA Y EXPORTADORA;1;
84709400-1;IMDIFER LTDA.;2225552609;CUEVAS 1196;SANTIAGO;SANTIAGO;GERENCIA@IMDIFER.COM;FERRETERIA INDUSTRIAL;1;FERRETERIA INDUSTRIAL;METROPOLITANA;2;1;FERRETERIA INDUSTRIAL;1;
91476000-3;IMPORTADORA Y MANUFACTURERA VON DER HEYDE S.A.C.I.;322352100;EL ESFUERZO 702, BARRIO INDUSTRIAL EL BELLOTO;QUILPUE;QUILPUE;GERENCIA@HELA.CL;IMPORTADORA Y MANUFACTURERA DE HERRAMIENTAS PARA FERRETERIA;1;IMPORTADORA Y MANUFACTURERA DE HERRAMIENTAS PARA FERRETERIA;VALPARAISO;2;1;IMPORTADORA Y MANUFACTURERA DE HERRAMIENTAS PARA FERRETERIA;1;
83090400-K;INDUSTRIA CASTILLO LTDA.;2226432195;SAN PABLO 9358;PUDAHUEL;SANTIAGO;INFO@CASTILLOLTDA.CL;FABRICACION, IMPORTACION, EXPORTACION Y DISTRIBUCION DE PRODUCTOS ELECTRICOS;1;FABRICACION, IMPORTACION, EXPORTACION Y DISTRIBUCION DE PRODUCTOS ELECTRICOS;METROPOLITANA;2;1;FABRICACION, IMPORTACION, EXPORTACION Y DISTRIBUCION DE PRODUCTOS ELECTRICOS;1;
81802300-6;INDUSTRIA INDAVAL LTDA.;2222229290;AV. PORTUGAL 864;SANTIAGO;SANTIAGO;;FABRICA DE PERNOS Y PRODUCTOS AFINES: MATERIAL PARA LA VIA FERREA FERRETERIA GALVANIZADA;1;FABRICA DE PERNOS Y PRODUCTOS AFINES: MATERIAL PARA LA VIA FERREA FERRETERIA GALVANIZADA;METROPOLITANA;2;1;FABRICA DE PERNOS Y PRODUCTOS AFINES: MATERIAL PARA LA VIA FERREA FERRETERIA GALVANIZADA;1;
77355430-7;INDUSTRIA DE PERNOS IRUA LTDA.;2226991089;AV. LIB. BERNARDO O'HIGGINS 1831;SANTIAGO;SANTIAGO;INFO@PERNOSIRUA.CL;FABRICACION, IMPORTACION Y DISTRIBUCION DE PERNOS Y ELEMENTOS DE SUJECION;1;FABRICACION, IMPORTACION Y DISTRIBUCION DE PERNOS Y ELEMENTOS DE SUJECION;METROPOLITANA;2;1;FABRICACION, IMPORTACION Y DISTRIBUCION DE PERNOS Y ELEMENTOS DE SUJECION;1;
96518130-K;MATERIALES TIGERO S.A.C.;712240950;UNO NORTE 2355;TALCA;TALCA;ACOMERCIAL1@TIGERO.CL;MATERIALES DE CONSTRUCCION;1;MATERIALES DE CONSTRUCCION;MAULE;2;1;MATERIALES DE CONSTRUCCION;1;
96692790-9;MATERIALES Y SOLUCIONES S.A;2223905100;AV. GENERAL VELASQUEZ 7137;CERRILLOS;SANTIAGO;CONTACTO@MTS.CL;COMPRA Y VENTA DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION;1;COMPRA Y VENTA DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION;METROPOLITANA;2;1;COMPRA Y VENTA DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION;1;
93573000-7;METALURGICA MERY HNOS. S.A;2227795072;NUEVA IMPERIAL 4326;QUINTA NORMAL;SANTIAGO;VENTAS@METALMERY.CL;FERRETERIA ELECTRICA, ESTAMPADOS METALICOS, REPUESTOS PARA LA MINERIA;1;FERRETERIA ELECTRICA, ESTAMPADOS METALICOS, REPUESTOS PARA LA MINERIA;METROPOLITANA;2;1;FERRETERIA ELECTRICA, ESTAMPADOS METALICOS, REPUESTOS PARA LA MINERIA;1;
81548400-2;MILAN FABJANOVIC Y CIA. LTDA.;412106186;TUCAPEL 1391;CONCEPCION;CONCEPCION;ADMINISTRACION@MFABJANOVIC.CL;IMPORTACION, FABRICACION Y DISTRIBUCION DE PERNOS;1;IMPORTACION, FABRICACION Y DISTRIBUCION DE PERNOS;BIO - BIO;2;1;IMPORTACION, FABRICACION Y DISTRIBUCION DE PERNOS;1;
78030500-2;MOSAICO S.A;2227317600;JUAN DE LA FUENTE 284;LAMPA;SANTIAGO;RECEPCION@MOSAICO.CL;IMPORTACION, EXPORTACION Y DISTRIBUCION DE ARTICULOS DE FERRETERIA;1;IMPORTACION, EXPORTACION Y DISTRIBUCION DE ARTICULOS DE FERRETERIA;METROPOLITANA;2;1;IMPORTACION, EXPORTACION Y DISTRIBUCION DE ARTICULOS DE FERRETERIA;1;
80706200-K;PATRICIO OTERO F. Y CIA. LTDA.;2228896300;AV. 10 DE JULIO 214;SANTIAGO;SANTIAGO;SERVIPER@SERVIPER.CL;PERNOS, TUERCAS, FERRETERIA INDUSTRIAL;1;PERNOS, TUERCAS, FERRETERIA INDUSTRIAL;METROPOLITANA;2;1;PERNOS, TUERCAS, FERRETERIA INDUSTRIAL;1;
76331653-K;PERSIMONTT LTDA.;652256757;JANEQUEO 1001;PUERTO MONTT;PUERTO MONTT;VENTAS@PERSIANASYCORTINAS.CL;FABRICA DE PERSIANAS, CORTINAS METALICAS Y ACRILICOS;1;FABRICA DE PERSIANAS, CORTINAS METALICAS Y ACRILICOS;LOS LAGOS;2;1;FABRICA DE PERSIANAS, CORTINAS METALICAS Y ACRILICOS;1;
93059000-2;PRAXAIR CHILE LTDA.;2800772924;PANAMERICANA NORTE KM.181/2;COLINA;SANTIAGO;CL_INFO@PRAXAIR.COM;GASES INDUSTRIALES, MEDICINALES Y ESPECIALES;1;GASES INDUSTRIALES, MEDICINALES Y ESPECIALES;METROPOLITANA;2;1;GASES INDUSTRIALES, MEDICINALES Y ESPECIALES;1;
96924780-1;RELIPER COMERCIAL LTDA.;552530480;AV. RENDIC 5905;ANTOFAGASTA;ANTOFAGASTA;RELIPER@RELIPER.CL;RESPUESTOS Y ACCESORIOS AUTOMOTRICES, FERRETERIA INDUSTRIAL E IMPORTANCIONES;1;RESPUESTOS Y ACCESORIOS AUTOMOTRICES, FERRETERIA INDUSTRIAL E IMPORTANCIONES;ANTOFAGASTA;2;1;RESPUESTOS Y ACCESORIOS AUTOMOTRICES, FERRETERIA INDUSTRIAL E IMPORTANCIONES;1;
92217000-2;SANDE S.A.;2228105600;AV. LIB. BERNARDO O'HIGGINS 1771;SANTIAGO;SANTIAGO;ADMINISTRACION@SANDE.CL;DISTRIBUCION INDUSTRIAL;1;DISTRIBUCION INDUSTRIAL;METROPOLITANA;2;1;DISTRIBUCION INDUSTRIAL;1;
81515100-3;SELIM DABED Y CIA. LTDA.;532662000;BENAVENTE 516;OVALLE;OVALLE;DABED@DABED.CL;BARRACA Y FERRETERIA;1;BARRACA Y FERRETERIA;COQUIMBO;2;1;BARRACA Y FERRETERIA;1;
86658900-3;SOCIEDAD COMERCIAL IDUYA Y CIA. LTDA.;512328909;JUAN ANTONIO RIOS 1050;COQUIMBO;COQUIMBO;N.CORTES@HOMEREAL.CL;SUPERMERCADO MENAJE Y MATERIALES DE CONSTRUCCION;1;SUPERMERCADO MENAJE Y MATERIALES DE CONSTRUCCION;COQUIMBO;2;1;SUPERMERCADO MENAJE Y MATERIALES DE CONSTRUCCION;1;
79751470-5;SOCIEDAD COMERCIAL SAN ANDRES LTDA.;552251146;CARACOLES 3566;ANTOFAGASTA;ANTOFAGASTA;CONTACTO@COMSALTDA.COM;FERRETERIA, DISTRIBUIDORA, COMERCIAL E INDUSTRIAL;1;FERRETERIA, DISTRIBUIDORA, COMERCIAL E INDUSTRIAL;ANTOFAGASTA;2;1;FERRETERIA, DISTRIBUIDORA, COMERCIAL E INDUSTRIAL;1;
78481770-9;SOCIEDAD COMERCIAL WERNER Y RADDATZ LTDA.;652242618;BAQUEDANO 805;LLANQUIHUE;LLANQUIHUE;WYR@WYR.CL;FERRETERIA E INSUMOS AGRICOLAS;1;FERRETERIA E INSUMOS AGRICOLAS;LOS LAGOS;2;1;FERRETERIA E INSUMOS AGRICOLAS;1;
80565900-9;YOLITO BALART HNOS. LTDA.;2227500600;AV. LAS CONDES 7090;LAS CONDES;SANTIAGO;YOLITOCF@YOLITO.CL;FERRETERIA;1;FERRETERIA;METROPOLITANA;2;1;FERRETERIA;1;
76938030-2;AMECFW;2229577700;AV. APOQUINDO 3846 PISO 15;LAS CONDES;SANTIAGO;;SERVICIOS DE INGENIERIA Y CONSTRUCCION;1;SERVICIOS DE INGENIERIA Y CONSTRUCCION;METROPOLITANA;2;1;SERVICIOS DE INGENIERIA Y CONSTRUCCION;5;
81680800-6;AMEC-CADE INGENIERIA Y DESARROLLO DE PROYECTOS LTDA;2226406600;AV. JOSE DOMINGO CA¥AS 2640;¥U¥OA;SANTIAGO;AMEC-CADE@AMECFW.COM;SERVICIOS DE INGENIERIA;1;SERVICIOS DE INGENIERIA;METROPOLITANA;2;1;SERVICIOS DE INGENIERIA;5;
89371200-3;ARCADIS;2223816000;AV. ANTONIO VARAS 621;PROVIDENCIA;SANTIAGO;INFO.CL@ARCADIS.COM;ESTUDIOS Y PROYECTOS DE INGENIERIA;1;ESTUDIOS Y PROYECTOS DE INGENIERIA;METROPOLITANA;2;1;ESTUDIOS Y PROYECTOS DE INGENIERIA;5;
96554910-2;DRS GESTION INTEGRAL DE PROYECTOS LTDA.;2227544100;AV. DEL VALLE 577 OF. 204;HUECHURABA;SANTIAGO;DRS@DRS.CL;INSPECCION TECNICA DE OBRA, ADMINISTRACION Y PROYECTOS CONSTRUCCION DE OBRAS CIVILES;1;INSPECCION TECNICA DE OBRA, ADMINISTRACION Y PROYECTOS CONSTRUCCION DE OBRAS CIVILES;METROPOLITANA;2;1;INSPECCION TECNICA DE OBRA, ADMINISTRACION Y PROYECTOS CONSTRUCCION DE OBRAS CIVILES;5;
78040120-6;OUTOTEC CHILE S.A.;2223362000;AV. VITACURA 2939 PISO 9;LAS CONDES;SANTIAGO;OUTOTEC.CHILE@OUTOTEC.COM;VENTA DE TECNOLOGIA PARA LA MINERIA Y ASESORIA TECNICA;1;VENTA DE TECNOLOGIA PARA LA MINERIA Y ASESORIA TECNICA;METROPOLITANA;2;1;VENTA DE TECNOLOGIA PARA LA MINERIA Y ASESORIA TECNICA;5;
77171320-4;PM CONSULTING S.A.;2226287080;AV. ALONSO DE CORDOVA 5670 PISO 12 OF 1201;LAS CONDES;SANTIAGO;GERENCIA@EPMC.CL;INGENIERIA Y CONSULTORIA;1;INGENIERIA Y CONSULTORIA;METROPOLITANA;2;1;INGENIERIA Y CONSULTORIA;5;
96539000-6;WORLEYPARSONS;2228633801;AV. APOQUINDO 4501 PISO 15;LAS CONDES;SANTIAGO;INFO.CHILE@WORLEYPARSONS.COM;INGENIERIA DE CONSULTA, PROYECTOS EPCM Y PM;1;INGENIERIA DE CONSULTA, PROYECTOS EPCM Y PM;METROPOLITANA;2;1;INGENIERIA DE CONSULTA, PROYECTOS EPCM Y PM;5;
99581920-1;ARIDOS EL BOLDAL S.A.;412911888;O'HIGGINS 445 PISO 7 OF. 701;CONCEPCION;CONCEPCION;CONTACTO@ARIDOSELBOLDAL.CL;EXTRACCION, PROCESAMIENTO Y VENTA DE ARIDOS;1;EXTRACCION, PROCESAMIENTO Y VENTA DE ARIDOS;BIO - BIO;2;1;EXTRACCION, PROCESAMIENTO Y VENTA DE ARIDOS;5;
78269590-8;ARIDOS MAGGI LIMITADA;322814081;FUNDO COLMITO S/N;CONCON;CONCON;EMAGGI@TIE.CL;EXPLOTACION DE ARIDOS Y ARRIENDO DE MAQUINARIA;1;EXPLOTACION DE ARIDOS Y ARRIENDO DE MAQUINARIA;VALPARAISO;2;1;EXPLOTACION DE ARIDOS Y ARRIENDO DE MAQUINARIA;5;
95914000-6;CONSTRUCTORA OBRAS CIVILES Y VIALES LTDA.;2228440387;CARRETERA GENERAL SAN MARTIN 2436;COLINA;SANTIAGO;INFO@CONOVIA.CL;EXTRACCION DE ARIDOS;1;EXTRACCION DE ARIDOS;METROPOLITANA;2;1;EXTRACCION DE ARIDOS;5;
88147600-2;HORMIGONES TRANSEX LTDA.;2223926000;AV. DEL VALLE 850;HUECHURABA;SANTIAGO;CONTACTO@HTRANSEX.CL;ELABORACION Y DISTRIBUCION DE HORMIGON PREMEZCLADO;1;ELABORACION Y DISTRIBUCION DE HORMIGON PREMEZCLADO;METROPOLITANA;2;1;ELABORACION Y DISTRIBUCION DE HORMIGON PREMEZCLADO;5;
77976750-7;HUINCA E HIJOS LTDA;412598055;AUTOPISTA 6930;TALCAHUANO;TALCAHUANO;HUINCAEHIJOSLTDA@GMAIL.COM;ASERRADERO Y TALLERES DE PREPARACION DE MADERAS;1;ASERRADERO Y TALLERES DE PREPARACION DE MADERAS;BIO - BIO;2;1;ASERRADERO Y TALLERES DE PREPARACION DE MADERAS;5;
76570180-5;MADERAS RARINCO S.A.;432311319;LONGITUDINAL SUR KM. 502;LOS ANGELES;LOS ANGELES;MRARINCO@GMAIL.COM;ASERRADERO, PREPARACION DE MADERAS Y ELABORACION;1;ASERRADERO, PREPARACION DE MADERAS Y ELABORACION;BIO - BIO;2;1;ASERRADERO, PREPARACION DE MADERAS Y ELABORACION;5;
78465110-K;MELON ARIDOS LTDA.;2223875400;CAMINO A LONQUEN 11620;SAN BERNARDO;SANTIAGO;;COMERCIALIZACION Y EXTRACCION DE ARIDOS;1;COMERCIALIZACION Y EXTRACCION DE ARIDOS;METROPOLITANA;2;1;COMERCIALIZACION Y EXTRACCION DE ARIDOS;5;
88438300-5;SOCIEDAD MINERA PETREOS QUILIN LTDA.;2228108600;AV. DEPARTAMENTAL 8250;PE¥ALOLEN;SANTIAGO;VENTAS@QUILIN.CL;EXPLOTACION, PROCESAMIENTO Y VENTA DE ARIDOS, MEZCLA ASFALTICA Y PAVIMENTACION DE CALLES;1;EXPLOTACION, PROCESAMIENTO Y VENTA DE ARIDOS, MEZCLA ASFALTICA Y PAVIMENTACION DE CALLES;METROPOLITANA;2;1;EXPLOTACION, PROCESAMIENTO Y VENTA DE ARIDOS, MEZCLA ASFALTICA Y PAVIMENTACION DE CALLES;5;
79723950-K;ALONSO MAQUINARIAS LTDA.;2225554380;¥UBLE 488;SANTIAGO;SANTIAGO;INFO@ALONSO.CL;ARRIENDO, VENTA Y REPARACION DE MAQUINARIAS DE CONSTRUCCION;1;ARRIENDO, VENTA Y REPARACION DE MAQUINARIAS DE CONSTRUCCION;METROPOLITANA;2;1;ARRIENDO, VENTA Y REPARACION DE MAQUINARIAS DE CONSTRUCCION;5;
79633220-4;BESALCO MAQUINARIAS S.A.;2225407400;JOSE JOAQUIN PRIETO 9660;EL BOSQUE;SANTIAGO;MAQUINARIAS@BESALCO.CL;PRESTACION DE SERVICIOS INTEGRALES CON MAQUINARIA PARA LOS RUBROS DE MINERIA, CONSTRUCCION;1;PRESTACION DE SERVICIOS INTEGRALES CON MAQUINARIA PARA LOS RUBROS DE MINERIA, CONSTRUCCION;METROPOLITANA;2;1;PRESTACION DE SERVICIOS INTEGRALES CON MAQUINARIA PARA LOS RUBROS DE MINERIA, CONSTRUCCION;5;
96974320-5;CAT RENTAL STORE;2223778300;AV. PRESIDENTE EDUARDO FREI MONTALVA 8771;QUILICURA;SANTIAGO;LUIS.FERNANDEZ@FINNING.COM;ARRENDAMIENTO DE MAQUINARIAS Y/O EQUIPOS;1;ARRENDAMIENTO DE MAQUINARIAS Y/O EQUIPOS;METROPOLITANA;2;1;ARRENDAMIENTO DE MAQUINARIAS Y/O EQUIPOS;5;
77924230-7;COMERCIALIZADORA INDUSTRIAL WL LTDA.;2229521000;AV. PRESIDENTE EDUARDO FREI MONTALVA 6001, LOCAL 82, CENTRO EMPRESARIAL EL CORTIJO;CONCHALI;SANTIAGO;WFADEL@W-L.CL;COMERCIALIZACION , IMPORTACION, EXPORTACION Y ARRENDAMIENTO DE MAQUINARIA INDUSTRIAL;1;COMERCIALIZACION , IMPORTACION, EXPORTACION Y ARRENDAMIENTO DE MAQUINARIA INDUSTRIAL;METROPOLITANA;2;1;COMERCIALIZACION , IMPORTACION, EXPORTACION Y ARRENDAMIENTO DE MAQUINARIA INDUSTRIAL;5;
83162400-0;EMARESA, INGENIEROS Y REPRESENTACIONES S.A;2224602000;SANTA ADELA 9901;MAIPU;SANTIAGO;MKTG@EMARESA.CL;IMPORTADORES, REPRESENTANTES, FABRICANTES Y ARRIENDO DE MAQUINARIA;1;IMPORTADORES, REPRESENTANTES, FABRICANTES Y ARRIENDO DE MAQUINARIA;METROPOLITANA;2;1;IMPORTADORES, REPRESENTANTES, FABRICANTES Y ARRIENDO DE MAQUINARIA;5;
